Ticker,Est Rev CAGR (3Y),Est EBIT CAGR (3Y),Hist Rev CAGR (5Y),Hist Rev CAGR (3Y),Hist EBIT CAGR (3Y),ROIC (FY),Gross Profit Margin % (FY),EBIT Margin % (FY),Net Income Margin % (FY),FCF Margin % (FY),Net Debt / EBITDA (FY),Volume (% SO),Country_Code,Industry_Code,P/E (NTM)
Stock-5551634,-0.0148,0.1186,0.1299,0.0582,-0.9041,-0.008,0.0999,0,0.0095,0.0117,4.697642164,0.005369116,AU,Cons_Stap_Dist_Retail,14.6
Stock-4132665,0.1452,2.4989,0.0287,0.0373,-0.7425,0.0034,0.0969,0.0035,-0.0052,-0.0292,7.006980302,0.00682735,TH,Auto_Comps,10.7
Stock-6933651,0.025,1.4408,-0.0258,-0.1194,-0.7043,-0.0268,0.3028,0.0023,-0.0279,-0.0841,-6.982300885,0.028116027,CN,Beverages,29.3
Stock-7134137,0.1384,0.8801,0.0159,0.0154,-0.5843,0.005,0.62,0.0171,0.0444,0.0907,-28.16500754,0.000700454,CN,HH_Products,145
Stock-4295881,0.1208,1.6909,0.0645,0.029,-0.5627,-0.0019,0.1904,0.0037,0.0014,0.0246,0.3112307,0.005444091,RoW,Specialty_Retail,17
Stock-7746173,0.0349,0.2305,0.0853,0.0887,-0.4902,0.0042,0.0478,0.006,0.0113,0.0168,7.780336352,0.001542457,CN,Food,77.3
Stock-9117217,-0.0865,0.3842,0.0333,0.0375,-0.4657,0.0165,0.4007,0.0101,0.0026,0.004,9.37129007,0.060696425,US,Specialty_Retail,153.3
Stock-6208313,0.0566,0.0575,0.1137,0.0849,-0.4504,0.0027,0.1346,0.0124,0.0348,0.0699,24.77427157,0.004387688,CN,Specialty_Retail,11.3
Stock-7849285,0.024,0.8079,0.0158,-0.002,-0.4442,0.0105,0.1102,0.0154,-0.0088,0.0236,13.61590536,0.002095599,TH,Food,12.4
Stock-56310343,0.0693,0.8325,0.1217,0.1075,-0.4423,0.019,0.1648,0.0111,-0.0378,0.0315,4.964950291,0.008542918,BR,Food,12.5
Stock-51311781,0.0273,0.3008,0.0685,0.0419,-0.4418,0.0143,0.0927,0.0069,-0.0257,-0.005,7.582998906,0.001834187,CA,Food,18.8
Stock-66712835,0.0936,0.3335,0.0644,-0.0097,-0.4314,-0.0005,0.1101,0.0013,0.0162,-0.0202,-3.203947791,0.015527411,CN,Autos,25.5
Stock-21613292,0.0901,0.6793,-0.0116,-0.0631,-0.4271,0.035,0.2121,0.0148,0.0168,-0.0022,-10.46583851,0.012584128,US,HH_Durables,80.7
Stock-49714137,0.097,0.2719,0.1183,0.0565,-0.4215,0.0249,0.2671,0.0513,0.0776,0.1039,-12.91481704,0.028641964,CN,Leisure_Products,49.4
Stock-38115522,0.0119,0.0399,0.0733,0.0833,-0.401,0.0148,0.3763,0.0072,-0.2047,-0.0016,12.1056209,0.010562768,US,Specialty_Retail,274.4
